Date,Time,Out,Temp,Temp.1,Hum,Pt.,Speed,Dir,Run,Speed.1,Dir.1,Chill,Index,Index.1,Index.2,Bar  ,Rain,Rate,Rad.,Energy,Rad. ,D-D ,D-D .1,Temp.2,Hum.1,Dew,Heat,EMC,Density,ET ,Samp,Tx ,Recept,Int.
13/04/23,2:30,13.3,13.4,13.2,31,-3.5,2.2,N,4.02,4.9,NNE,12.9,11.7,11.3,---,983.1,0.0,0.0,0,0.0,0,0.105,0.0,12.3,25,-7.2,10.6,5.53,1.1959,0.0,699,1,100.0,30
13/04/23,3:00,13.2,13.3,13.1,32,-3.2,2.2,N,4.02,4.9,N,12.7,11.6,11.1,---,982.9,0.0,0.0,0,0.0,0,0.108,0.0,12.3,25,-7.2,10.6,5.53,1.1959,0.08,700,1,100.0,30
13/04/23,3:30,13.0,13.2,12.9,33,-2.9,1.3,NNE,2.41,3.6,NNE,13.0,11.4,11.4,---,982.6,0.0,0.0,0,0.0,0,0.111,0.0,11.9,25,-7.5,10.3,5.52,1.197,0.0,703,1,100.0,30
13/04/23,4:00,12.6,12.9,12.6,34,-2.9,0.4,NE,0.8,2.2,NNE,12.6,11.1,11.1,---,982.7,0.0,0.0,0,0.0,0,0.12,0.0,11.3,25,-8.1,9.8,5.5,1.2001,0.05,701,1,100.0,30
13/04/23,4:30,12.8,12.8,12.5,33,-3.1,1.8,NNE,3.22,4.5,NNE,12.6,11.3,11.1,---,983.4,0.0,0.0,0,0.0,0,0.115,0.0,11.4,25,-8.0,9.9,5.5,1.2005,0.0,703,1,100.0,30
13/04/23,5:00,12.7,12.8,12.7,33,-3.2,1.3,NNE,2.41,3.1,NNE,12.7,11.2,11.2,---,983.5,0.0,0.0,0,0.0,0,0.117,0.0,11.6,25,-7.8,10.0,5.51,1.1999,0.05,699,1,100.0,30
13/04/23,5:30,12.1,12.8,12.1,34,-3.3,0.4,NE,0.8,1.3,NE,12.1,10.7,10.7,---,983.1,0.0,0.0,0,0.0,0,0.13,0.0,10.8,25,-8.5,9.4,5.48,1.2026,0.0,700,1,100.0,30
13/04/23,6:00,12.3,12.4,12.1,33,-3.6,0.4,NNE,0.8,1.8,S,12.3,10.8,10.8,---,983.6,0.0,0.0,0,0.0,0,0.126,0.0,10.4,25,-8.8,9.2,5.47,1.205,0.05,703,1,100.0,30
13/04/23,6:30,12.3,12.3,11.7,34,-3.1,0.4,NNE,0.8,2.2,NNE,12.3,10.9,10.9,---,984.0,0.0,0.0,0,0.0,0,0.125,0.0,10.2,26,-8.5,9.0,5.66,1.2063,0.0,699,1,100.0,30
13/04/23,7:00,12.3,12.4,12.1,34,-3.2,0.9,NNE,1.61,2.2,NE,12.3,10.8,10.8,---,984.4,0.0,0.0,0,0.0,5,0.126,0.0,10.6,25,-8.7,9.2,5.47,1.2055,0.05,702,1,100.0,30
13/04/23,7:30,12.3,12.5,12.3,35,-2.8,0.4,NE,0.8,1.8,NE,12.3,10.9,10.9,---,984.7,0.0,0.0,13,0.56,21,0.126,0.0,10.7,25,-8.5,9.3,5.48,1.2051,0.0,701,1,100.0,30
13/04/23,8:00,12.3,12.3,12.1,34,-3.2,0.4,NNE,0.8,1.8,N,12.3,10.8,10.8,---,984.8,0.0,0.0,27,1.16,32,0.126,0.0,10.6,25,-8.7,9.2,5.47,1.206,0.05,699,1,100.0,30
13/04/23,8:30,12.9,12.9,12.3,34,-2.6,0.4,NNW,0.8,1.3,NW,12.9,11.4,11.4,---,985.3,0.0,0.0,65,2.8,258,0.112,0.0,10.7,26,-8.0,9.4,5.68,1.2057,0.0,701,1,100.0,30
13/04/23,9:00,15.2,15.3,12.9,30,-2.3,0.4,NNE,0.8,1.8,N,15.2,13.4,13.4,---,985.6,0.0,0.0,321,13.8,380,0.065,0.0,13.3,27,-5.3,11.5,5.85,1.1941,0.13,702,1,100.0,30
13/04/23,9:30,15.9,15.9,15.1,29,-2.1,0.9,WNW,1.61,2.7,WNW,15.9,13.9,13.9,---,986.3,0.0,0.0,437,18.79,494,0.05,0.0,15.8,27,-3.2,13.7,5.85,1.1837,0.0,702,1,100.0,30
13/04/23,10:00,16.4,16.4,15.9,28,-2.1,0.9,NNE,1.61,3.6,N,16.4,14.3,14.3,---,986.1,0.0,0.0,549,23.61,596,0.039,0.0,17.7,27,-1.6,15.4,5.85,1.1753,0.28,703,1,100.0,30
13/04/23,10:30,17.0,17.0,16.4,26,-2.7,0.9,N,1.61,4.0,N,17.0,14.7,14.7,---,986.3,0.0,0.0,647,27.82,689,0.028,0.0,18.9,27,-0.5,16.7,5.85,1.1699,0.0,701,1,100.0,30
13/04/23,11:00,17.7,17.7,16.8,25,-2.6,1.3,NNE,2.41,4.0,NNE,17.7,15.2,15.2,---,986.5,0.0,0.0,730,31.39,773,0.014,0.0,19.7,27,0.2,17.6,5.85,1.1666,0.38,700,1,100.0,30
13/04/23,11:30,19.2,19.2,17.7,22,-3.1,0.9,SSE,1.61,3.6,SW,19.2,16.6,16.6,---,986.1,0.0,0.0,808,34.75,838,0.0,0.017,21.1,27,1.3,18.9,5.85,1.1603,0.0,701,1,100.0,30
13/04/23,12:00,19.3,19.7,18.9,21,-3.6,1.8,NNE,3.22,5.4,NNE,19.3,16.6,16.6,---,986.0,0.0,0.0,866,37.24,891,0.0,0.02,21.9,26,1.5,20.1,5.59,1.1568,0.51,701,1,100.0,30
13/04/23,12:30,20.6,20.6,19.1,20,-3.2,1.3,SSW,2.41,4.9,SE,20.6,18.0,18.0,---,985.7,0.0,0.0,906,38.96,925,0.0,0.046,22.7,26,2.2,21.3,5.53,1.1527,0.0,703,1,100.0,30
13/04/23,13:00,20.7,20.9,20.2,18,-4.5,1.8,N,3.22,5.4,N,20.7,18.0,18.0,---,985.7,0.0,0.0,932,40.08,944,0.0,0.049,23.7,26,3.1,22.6,5.46,1.1483,0.61,700,1,100.0,30
13/04/23,13:30,21.9,22.1,20.7,17,-4.3,1.8,NNE,3.22,5.4,NNE,21.9,19.6,19.6,---,985.3,0.0,0.0,945,40.64,949,0.0,0.074,25.0,26,4.2,23.9,5.45,1.1422,0.0,702,1,100.0,30
13/04/23,14:00,22.3,22.5,21.7,15,-5.6,2.2,NNE,4.02,5.8,NE,22.3,20.1,20.1,---,985.1,0.0,0.0,939,40.38,951,0.0,0.083,26.2,25,4.6,24.9,5.33,1.1372,0.69,702,1,100.0,30
13/04/23,14:30,22.5,22.7,21.9,17,-3.8,2.2,N,4.02,6.3,NE,22.5,20.4,20.4,---,984.9,0.0,0.0,910,39.14,928,0.0,0.087,26.5,24,4.3,25.3,5.15,1.136,0.0,703,1,100.0,30
13/04/23,15:00,23.2,23.7,22.5,17,-3.3,2.2,NNE,4.02,8.5,NNE,23.2,21.4,21.4,---,984.2,0.0,0.0,867,37.29,893,0.0,0.101,27.4,24,5.1,26.1,5.12,1.131,0.66,702,1,100.0,30
13/04/23,15:30,24.0,24.3,22.9,16,-3.4,2.2,NE,4.02,7.6,NNE,24.0,22.4,22.4,---,984.0,0.0,0.0,808,34.75,840,0.0,0.118,28.0,24,5.5,26.6,5.1,1.1284,0.0,702,1,100.0,30
13/04/23,16:00,24.4,24.4,23.7,17,-2.2,2.7,NNE,4.83,9.8,NE,24.4,22.9,22.9,---,983.8,0.0,0.0,742,31.91,775,0.0,0.127,27.8,24,5.4,26.4,5.11,1.1291,0.66,703,1,100.0,30
13/04/23,16:30,24.9,25.2,24.4,16,-2.6,1.8,NE,3.22,6.3,NE,24.9,23.4,23.4,---,983.9,0.0,0.0,663,28.51,701,0.0,0.138,28.9,23,5.7,27.4,4.89,1.1246,0.0,702,1,100.0,30
13/04/23,17:00,24.7,25.6,24.7,16,-2.9,2.7,NNE,4.83,6.7,NNE,24.7,23.2,23.2,---,983.7,0.0,0.0,545,23.44,605,0.0,0.132,28.8,23,5.6,27.3,4.89,1.1248,0.53,703,1,100.0,30
13/04/23,17:30,24.6,25.3,24.6,16,-2.9,2.2,NNE,4.02,8.0,NE,24.6,23.0,23.0,---,983.6,0.0,0.0,464,19.95,517,0.0,0.13,28.4,23,5.3,26.9,4.93,1.1267,0.0,699,1,100.0,30
13/04/23,18:00,25.4,25.5,24.6,16,-2.3,1.3,ENE,2.41,5.4,NE,25.4,23.8,23.8,---,983.6,0.0,0.0,355,15.27,408,0.0,0.147,28.3,23,5.2,26.9,4.93,1.127,0.38,703,1,100.0,30
13/04/23,18:30,24.9,25.4,24.9,16,-2.7,1.3,S,2.41,4.0,S,24.9,23.4,23.4,---,983.6,0.0,0.0,224,9.63,297,0.0,0.137,28.0,23,4.9,26.6,4.95,1.1283,0.0,701,1,100.0,30
13/04/23,19:00,23.7,24.8,23.7,16,-3.6,3.1,NNE,5.63,9.4,NE,23.7,22.1,22.1,---,983.7,0.0,0.0,28,1.2,33,0.0,0.112,25.2,22,1.9,24.0,4.85,1.1411,0.2,702,1,100.0,30
13/04/23,19:30,23.3,23.7,23.2,16,-4.0,4.0,NNE,7.24,8.5,NE,22.6,21.5,20.8,---,984.0,0.0,0.0,15,0.65,23,0.0,0.103,23.6,23,1.2,22.2,5.06,1.1481,0.0,702,1,100.0,30
13/04/23,20:00,22.8,23.3,22.8,17,-3.5,3.6,NE,6.44,8.0,NE,22.6,20.9,20.7,---,984.3,0.0,0.0,2,0.09,7,0.0,0.094,22.7,23,0.5,21.0,5.09,1.1523,0.18,703,1,100.0,30
13/04/23,20:30,22.4,22.8,22.4,19,-2.3,1.8,NNE,3.22,4.9,NNE,22.4,20.5,20.5,---,984.7,0.0,0.0,0,0.0,0,0.0,0.086,21.9,23,-0.2,19.9,5.12,1.1562,0.0,700,1,100.0,30
13/04/23,21:00,22.1,22.5,22.1,20,-2.0,3.1,NNE,5.63,5.8,NNE,22.1,20.0,20.0,---,985.0,0.0,0.0,0,0.0,0,0.0,0.078,21.5,23,-0.5,19.3,5.14,1.1582,0.15,701,1,100.0,30
13/04/23,21:30,21.7,22.1,21.6,21,-1.6,2.7,NNE,4.83,5.8,NE,21.7,19.5,19.5,---,985.3,0.0,0.0,0,0.0,0,0.0,0.069,21.0,23,-0.9,18.6,5.15,1.1608,0.0,703,1,100.0,30
13/04/23,22:00,21.0,21.7,21.0,23,-0.9,0.9,NNE,1.61,3.6,NNE,21.0,18.6,18.6,---,985.8,0.0,0.0,0,0.0,0,0.0,0.056,20.1,23,-1.7,17.7,5.11,1.1655,0.1,701,1,100.0,30
13/04/23,22:30,20.0,21.0,20.0,25,-0.6,0.4,N,0.8,1.8,N,20.0,17.8,17.8,---,985.9,0.0,0.0,0,0.0,0,0.0,0.035,19.2,23,-2.5,16.6,5.08,1.1694,0.0,703,1,100.0,30
13/04/23,23:00,19.9,20.2,19.9,26,-0.2,0.4,N,0.8,1.8,N,19.9,17.8,17.8,---,986.4,0.0,0.0,0,0.0,0,0.0,0.034,18.6,23,-3.0,16.0,5.06,1.1727,0.08,700,1,100.0,30
13/04/23,23:30,19.6,19.9,19.6,27,0.1,0.4,NNW,0.8,1.8,NNE,19.6,17.4,17.4,---,986.3,0.0,0.0,0,0.0,0,0.0,0.027,18.0,24,-2.9,15.5,5.26,1.1748,0.0,701,1,100.0,30
14/04/23,0:00,19.0,19.6,18.9,29,0.5,0.9,NNW,1.61,1.3,NNW,19.0,17.0,17.0,---,986.3,0.0,0.0,0,0.0,0,0.0,0.014,17.6,24,-3.2,15.1,5.28,1.1766,0.05,699,1,100.0,30
14/04/23,0:30,18.8,19.2,18.8,30,0.8,0.9,N,1.61,2.2,NW,18.8,16.9,16.9,---,986.3,0.0,0.0,0,0.0,0,0.0,0.009,17.4,24,-3.4,14.9,5.28,1.1773,0.0,702,1,100.0,30
14/04/23,1:00,18.7,18.8,18.7,29,0.3,0.9,N,1.61,2.2,N,18.7,16.7,16.7,---,986.3,0.0,0.0,0,0.0,0,0.0,0.007,17.1,24,-3.7,14.6,5.3,1.179,0.05,701,1,100.0,30
14/04/23,1:30,18.4,18.7,18.4,24,-2.5,1.8,NNW,3.22,4.5,N,18.4,15.9,15.9,---,986.5,0.0,0.0,0,0.0,0,0.0,0.002,17.1,24,-3.6,14.7,5.29,1.1789,0.0,703,1,100.0,30
14/04/23,2:00,17.8,18.4,17.8,23,-3.7,2.2,NNW,4.02,5.4,NNW,17.8,15.2,15.2,---,986.7,0.0,0.0,0,0.0,0,0.012,0.0,17.0,24,-3.7,14.6,5.3,1.1797,0.1,701,1,100.0,30
14/04/23,2:30,16.2,17.8,16.2,28,-2.3,2.2,E,4.02,7.2,ESE,16.2,14.1,14.1,---,986.9,0.0,0.0,0,0.0,0,0.044,0.0,16.2,24,-4.4,13.8,5.33,1.1834,0.0,703,1,100.0,30
14/04/23,3:00,15.7,16.2,15.7,30,-1.8,1.8,E,3.22,6.3,E,15.7,13.8,13.8,---,986.9,0.0,0.0,0,0.0,0,0.054,0.0,15.3,24,-5.2,13.0,5.35,1.1876,0.1,698,1,100.0,30
14/04/23,3:30,15.3,15.7,15.3,32,-1.3,0.9,ENE,1.61,3.6,ENE,15.3,13.6,13.6,---,987.0,0.0,0.0,0,0.0,0,0.063,0.0,14.6,24,-5.8,12.4,5.35,1.1909,0.0,699,1,100.0,30
14/04/23,4:00,15.0,15.3,15.0,33,-1.2,1.8,E,3.22,5.4,E,15.0,13.3,13.3,---,987.0,0.0,0.0,0,0.0,0,0.069,0.0,14.1,24,-6.2,12.0,5.35,1.1928,0.08,702,1,100.0,30
14/04/23,4:30,14.6,15.0,14.6,33,-1.5,1.8,E,3.22,5.4,E,14.6,12.9,12.9,---,987.3,0.0,0.0,0,0.0,0,0.078,0.0,13.7,24,-6.6,11.6,5.35,1.1952,0.0,702,1,100.0,30
14/04/23,5:00,14.4,14.7,14.4,34,-1.3,2.7,E,4.83,6.3,E,13.9,12.7,12.3,---,987.4,0.0,0.0,0,0.0,0,0.082,0.0,13.5,25,-6.2,11.5,5.55,1.196,0.08,703,1,100.0,30
14/04/23,5:30,14.0,14.4,14.0,35,-1.2,1.3,SW,2.41,4.5,E,14.0,12.4,12.4,---,987.9,0.0,0.0,0,0.0,0,0.09,0.0,13.2,25,-6.5,11.3,5.55,1.198,0.0,701,1,100.0,30
14/04/23,6:00,13.9,14.1,13.9,35,-1.3,1.8,SSW,3.22,4.9,E,13.9,12.3,12.3,---,988.1,0.0,0.0,0,0.0,0,0.093,0.0,12.9,25,-6.7,11.1,5.55,1.1995,0.08,703,1,100.0,30
14/04/23,6:30,13.7,13.9,13.7,36,-1.1,2.2,E,4.02,5.4,SSW,13.4,12.2,11.9,---,988.6,0.0,0.0,0,0.0,0,0.096,0.0,12.8,25,-6.8,10.9,5.55,1.2006,0.0,702,1,100.0,30
14/04/23,7:00,13.4,13.7,13.4,38,-0.6,1.8,E,3.22,4.9,SW,13.3,12.1,11.9,---,989.0,0.0,0.0,0,0.0,5,0.102,0.0,12.5,25,-7.0,10.7,5.54,1.2023,0.08,701,1,100.0,30
14/04/23,7:30,13.4,13.5,13.4,39,-0.3,2.2,SSW,4.02,7.6,SW,13.0,12.0,11.6,---,989.2,0.0,0.0,14,0.6,23,0.103,0.0,12.5,25,-7.0,10.7,5.54,1.2026,0.0,701,1,100.0,30
14/04/23,8:00,13.5,13.5,13.4,40,0.1,1.8,SW,3.22,6.7,SW,13.4,12.2,12.1,---,989.5,0.0,0.0,30,1.29,37,0.101,0.0,12.6,26,-6.5,10.8,5.74,1.2026,0.08,702,1,100.0,30
14/04/23,8:30,14.3,14.3,13.4,39,0.5,1.3,ENE,2.41,4.0,E,14.3,12.8,12.8,---,989.7,0.0,0.0,75,3.23,250,0.084,0.0,12.8,26,-6.2,11.1,5.75,1.2015,0.0,702,1,100.0,30
14/04/23,9:00,15.7,15.7,14.3,37,1.0,1.8,SSW,3.22,6.3,S,15.7,14.1,14.1,---,989.8,0.0,0.0,309,13.29,366,0.056,0.0,14.8,27,-4.1,12.7,5.85,1.1927,0.15,702,1,100.0,30
14/04/23,9:30,16.5,16.5,15.7,36,1.4,1.8,SSW,3.22,5.4,SW,16.5,14.8,14.8,---,990.1,0.0,0.0,424,18.23,480,0.038,0.0,16.7,27,-2.4,14.4,5.85,1.1846,0.0,702,1,100.0,30
14/04/23,10:00,16.9,17.4,16.5,33,0.5,2.7,SSW,4.83,7.6,S,16.9,15.1,15.1,---,990.0,0.0,0.0,536,23.05,585,0.029,0.0,18.1,26,-1.8,15.7,5.65,1.1786,0.33,702,1,100.0,30
14/04/23,10:30,18.0,18.1,16.7,32,1.0,3.1,SSW,5.63,8.0,SSW,18.0,16.2,16.2,---,989.8,0.0,0.0,636,27.35,680,0.007,0.0,18.8,26,-1.1,16.4,5.65,1.1748,0.0,702,1,100.0,30
14/04/23,11:00,19.5,19.5,18.0,30,1.4,2.7,SSW,4.83,6.3,SW,19.5,17.6,17.6,---,989.4,0.0,0.0,722,31.05,758,0.0,0.024,20.1,26,-0.1,17.9,5.65,1.1689,0.43,699,1,100.0,30
14/04/23,11:30,20.1,20.2,19.5,28,1.0,2.7,SW,4.83,7.2,S,20.1,18.0,18.0,---,989.1,0.0,0.0,794,34.15,826,0.0,0.036,21.4,26,1.1,19.3,5.63,1.1627,0.0,701,1,100.0,30
